City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
283,Mount Isa,-20.7333,139.5,303.02,58,40,4.12,AU,1675905046
284,Qaanaaq,77.484,-69.3632,241.14,66,16,2.85,GL,1675905047
285,Geraldton,-28.7667,114.6,298.38,57,0,5.66,AU,1675905047
286,Pacific Grove,36.6177,-121.9166,291.23,78,0,2.68,US,1675905048
287,Witu,-2.3889,40.4382,298.24,92,29,2.48,KE,1675905048
288,Trincomalee,8.5711,81.2335,298.72,78,100,3.98,LK,1675905049
289,Rypefjord,70.6333,23.6667,274.41,93,100,4.63,NO,1675905049
290,Machiques,10.0644,-72.545,298.94,70,18,5.19,VE,1675905050
291,Sisimiut,66.9395,-53.6735,255.46,79,100,2.87,GL,1675905050
292,Lata,40.1629,-8.3327,280.33,78,25,2.91,PT,1675905051
293,Teya,60.3778,92.6267,251.61,100,100,1.29,RU,1675905052
294,Broken Hill,-31.95,141.4333,304.12,13,0,2.71,AU,1675905052
295,Touros,-5.1989,-35.4608,299.65,79,16,6.03,BR,1675905052
296,Yerbabuena,20.9667,-101.2667,293.0,37,67,2.03,MX,1675905053
297,Toora-Khem,52.4675,96.11,256.1,99,100,0.12,RU,1675905054
298,Sandwick,60.0,-1.25,279.05,70,40,19.55,GB,1675905054
299,Kenai,60.5544,-151.2583,270.2,75,75,2.06,US,1675905055
300,Umm Lajj,25.0213,37.2685,290.46,44,100,7.14,SA,1675905056
301,Natitingou,10.3042,1.3796,297.44,18,8,1.92,BJ,1675905056
302,Padang,-0.9492,100.3543,296.18,88,97,2.12,ID,1675905057
303,Ngaoundere,7.3167,13.5833,292.3,21,19,1.68,CM,1675905057
304,Portland,45.5234,-122.6762,284.16,70,0,0.45,US,1675904541
305,Kavaratti,10.5669,72.642,299.39,73,100,2.56,IN,1675905058
306,Binzhou,37.3667,118.0167,276.47,48,100,4.47,CN,1675905059
307,Zhigansk,66.7697,123.3711,231.79,97,100,3.95,RU,1675905059
308,Kashi,39.4547,75.9797,267.95,73,29,1.42,CN,1675905060
309,Lobito,-12.3481,13.5456,296.49,81,94,1.26,AO,1675905061
310,Clonakilty,51.6231,-8.8706,278.71,89,32,3.75,IE,1675905061
311,Mormugao,15.4,73.8,295.74,88,20,2.06,IN,1675905062
312,Harper,4.375,-7.7169,298.59,87,96,0.53,LR,1675905063
313,Southbridge,42.0751,-72.0334,277.62,70,5,1.34,US,1675905063
314,Ilulissat,69.2167,-51.1,252.16,54,5,3.09,GL,1675905064
315,Lidkoping,58.5052,13.1577,275.16,78,100,8.89,SE,1675905065
316,Gainesville,29.6516,-82.3248,293.76,64,0,3.09,US,1675904976
317,Shiyan,32.6475,110.7781,277.01,98,100,0.34,CN,1675905066
318,Villa De Reyes,21.8,-100.9333,291.86,41,97,4.04,MX,1675905067
319,Conakry,9.538,-13.6773,298.24,70,12,2.58,GN,1675904923
320,Mumford,5.2618,-0.759,299.14,87,100,2.57,GH,1675905068
321,Aswan,24.0934,32.907,285.23,41,100,5.69,EG,1675905069
322,Lagoa,39.05,-27.9833,286.46,68,100,5.12,PT,1675905069
323,Iqaluit,63.7506,-68.5145,248.77,89,100,6.32,CA,1675905070
324,Jimma,7.6667,36.8333,287.75,43,6,0.14,ET,1675905071
325,Jalu,29.0331,21.5482,284.1,47,86,6.27,LY,1675905071
326,Tuatapere,-46.1333,167.6833,285.91,64,79,4.95,NZ,1675905064
327,Kununurra,-15.7667,128.7333,305.14,62,27,4.12,AU,1675905072
328,Hammond,41.5834,-87.5,277.16,75,75,1.54,US,1675905073
329,Solnechnyy,50.7214,136.6319,251.01,88,9,0.72,RU,1675905073
330,Chardara,41.2547,67.9692,276.45,91,100,3.99,KZ,1675905074
331,Veraval,20.9,70.3667,294.71,37,37,3.5,IN,1675905075
332,Urucara,-2.5364,-57.76,296.81,94,67,1.13,BR,1675905075
333,Kyshtovka,56.555,76.6271,248.1,100,100,2.2,RU,1675905076
334,Hecun,36.5333,114.1111,273.58,91,100,0.39,CN,1675905077
335,Urusha,54.05,122.9,249.17,95,100,0.73,RU,1675905077
336,Mokhsogollokh,61.4681,128.9203,230.96,99,98,0.99,RU,1675905078
337,Kasongo-Lunda,-6.4667,16.8167,293.5,96,91,0.2,CD,1675905079
338,Okhotsk,59.3833,143.3,245.29,82,23,6.15,RU,1675905080
339,Rudbar,30.15,62.6,292.0,44,100,4.95,AF,1675905080
340,Eston,51.1501,-108.7514,264.03,87,78,4.17,CA,1675905081
341,Tocopilla,-22.092,-70.1979,295.92,81,45,2.86,CL,1675905082
342,Dumas,35.8656,-101.9732,280.11,36,0,4.12,US,1675904868
343,Chilca,-12.5211,-76.7372,296.19,85,10,3.82,PE,1675905084
344,Hasaki,35.7333,140.8333,282.2,45,6,8.96,JP,1675905085
345,Port Lincoln,-34.7333,135.8667,297.84,55,0,5.27,AU,1675905086
346,Esna,25.2934,32.554,284.8,40,100,3.45,EG,1675905087
347,Lithakia,37.7167,20.8333,272.8,55,100,6.31,GR,1675905088
348,Khani,41.9563,42.9566,269.91,90,97,1.58,GE,1675905089
349,Pedernales,18.0384,-71.744,298.2,67,0,2.08,DO,1675905089
350,Payyannur,12.1,75.2,295.25,89,97,1.94,IN,1675905090
351,Takoradi,4.8845,-1.7554,299.06,87,70,2.03,GH,1675905090
352,Arman,59.7,150.1667,252.6,78,100,4.21,RU,1675905091
353,North Bend,43.4065,-124.2243,284.22,87,75,0.0,US,1675904917
354,Saint-Augustin,51.226,-58.6502,264.85,97,100,2.63,CA,1675905092
355,Havoysund,70.9963,24.6622,277.28,99,100,10.75,NO,1675905092
